link,parent
https://en.m.wikipedia.org/w/index.php?title=Apollo_13_(film)&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Apollo_13_(film)
https://en.m.wikipedia.org/w/index.php?title=JFK_(film)&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/JFK_(film)
https://en.m.wikipedia.org/w/index.php?title=Primetime_Emmy_Award_for_Outstanding_Directing_for_a_Drama_Series&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Primetime_Emmy_Award_for_Outstanding_Directing_for_a_Drama_Series
https://en.m.wikipedia.org/w/index.php?title=Academy_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Academy_Award
https://en.m.wikipedia.org/w/index.php?title=Academy_Awards&action=edit&section=31&mobileaction=toggle_view_mobile,https://en.wikipedia.org/w/index.php?title=Academy_Awards&action=edit&section=31
https://en.m.wikipedia.org/w/index.php?title=1st_Academy_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Unique_and_Artistic_Production
https://en.wikipedia.org/w/index.php?title=Special:CiteThisPage&page=1st_Academy_Awards&id=709410972,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Title_Writing
https://en.m.wikipedia.org/w/index.php?title=Social_network&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Social_networks
https://en.m.wikipedia.org/w/index.php?title=Hollywood_Walk_of_Fame&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame
https://en.m.wikipedia.org/w/index.php?title=Single_transferable_vote&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Single_transferable_vote
https://en.m.wikipedia.org/w/index.php?title=International_Antalya_Film_Festival&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/International_Antalya_Film_Festival
https://en.m.wikipedia.org/w/index.php?title=Plurality_voting_system&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Plurality_voting
https://en.m.wikipedia.org/w/index.php?title=83rd_Academy_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/83rd_Academy_Awards
https://en.m.wikipedia.org/w/index.php?title=Swiss_Film_Award&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Swiss_Film_Award
https://en.m.wikipedia.org/w/index.php?title=Korean_Film_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Korean_Film_Awards
https://en.m.wikipedia.org/w/index.php?title=Chris_Rock&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Chris_Rock
https://en.m.wikipedia.org/w/index.php?title=Polish_Film_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Polish_Film_Awards
https://en.m.wikipedia.org/w/index.php?title=Golden_Horse_Film_Festival_and_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Golden_Horse_Film_Festival_and_Awards
https://en.m.wikipedia.org/w/index.php?title=Goya_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Goya_Awards
https://en.m.wikipedia.org/w/index.php?title=Sophia_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Sophia_Awards
https://en.wikipedia.org/wiki/Category:Articles_needing_cleanup_from_April_2009,https://en.wikipedia.org/wiki/Goya_Award
https://en.m.wikipedia.org/w/index.php?title=Jussi_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Jussi_Award
https://en.m.wikipedia.org/w/index.php?title=British_Academy_Film_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/British_Academy_Film_Awards
https://en.m.wikipedia.org/w/index.php?title=Bodil_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Bodil_Awards
https://en.m.wikipedia.org/w/index.php?title=Guldbagge_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Guldbagge_Awards
https://en.m.wikipedia.org/w/index.php?title=Amanda_Award&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Amanda_Award
https://en.m.wikipedia.org/w/index.php?title=Film_industry&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Film_industry
https://en.m.wikipedia.org/w/index.php?title=Irish_Film_%26_Television_Academy&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Irish_Film_%26_Television_Awards
https://en.m.wikipedia.org/w/index.php?title=Mark_Rasch&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Mark_Rasch
https://en.m.wikipedia.org/w/index.php?title=Instant-runoff_voting&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Instant_runoff_voting
https://en.m.wikipedia.org/w/index.php?title=List_of_film_awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/List_of_film_awards
https://en.m.wikipedia.org/w/index.php?title=Liz_Figueroa&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Liz_Figueroa
https://en.m.wikipedia.org/w/index.php?title=Robert_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Robert_Awards
https://en.m.wikipedia.org/w/index.php?title=Czech_Lion_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Czech_Lion_Awards
https://en.m.wikipedia.org/w/index.php?title=Lumi%C3%A8res_Award&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Lumi%C3%A8res_Award
https://en.m.wikipedia.org/w/index.php?title=Hellenic_Film_Academy_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Hellenic_Film_Academy_Awards
https://en.m.wikipedia.org/w/index.php?title=The_Guardian&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/The_Guardian
https://en.m.wikipedia.org/w/index.php?title=Golden_Calf_(award)&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Golden_Calf_(award)
https://en.m.wikipedia.org/w/index.php?title=File:Eric_Schmidt_at_the_37th_G8_Summit_in_Deauville_037.jpg&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/File:Eric_Schmidt_at_the_37th_G8_Summit_in_Deauville_037.jpg
https://en.m.wikipedia.org/w/index.php?title=File:Schmidt-Brin-Page-20080520.jpg&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/File:Schmidt-Brin-Page-20080520.jpg
https://en.m.wikipedia.org/w/index.php?title=Productivity_software&mobileaction=toggle_view_mobile#Office_suite,https://en.wikipedia.org/wiki/Office_suite
https://en.m.wikipedia.org/w/index.php?title=88th_Academy_Awards&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/88th_Academy_Awards
https://en.m.wikipedia.org/w/index.php?title=Fox_Broadcasting_Company&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Fox_Broadcasting_Company
https://en.m.wikipedia.org/w/index.php?title=Scientific_notation&mobileaction=toggle_view_mobile#E_notation,https://en.wikipedia.org/wiki/E_notation
https://en.m.wikipedia.org/w/index.php?title=International_Talk_Like_a_Pirate_Day&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/International_Talk_Like_a_Pirate_Day
https://en.m.wikipedia.org/w/index.php?title=Ajax_(programming)&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Ajax_(programming)
https://en.m.wikipedia.org/w/index.php?title=Leet&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Leet
https://en.m.wikipedia.org/w/index.php?title=Academy_Awards&printable=yes&mobileaction=toggle_view_mobile,https://en.wikipedia.org/w/index.php?title=Academy_Awards&printable=yes
https://en.m.wikipedia.org/w/index.php?title=Google_Hangouts&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Google_Hangouts
https://en.m.wikipedia.org/w/index.php?title=Apache_Wave&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Google_Wave
https://en.m.wikipedia.org/w/index.php?title=Open-source_software&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Open-source_software
https://en.wikipedia.org/wiki/Category:Commons_category_with_local_link_different_than_on_Wikidata,https://en.wikipedia.org/wiki/Open_source
https://en.m.wikipedia.org/w/index.php?title=Elmer_Fudd&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Elmer_Fudd
https://en.m.wikipedia.org/w/index.php?title=Steve_Ballmer&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Steve_Ballmer
https://en.m.wikipedia.org/w/index.php?title=MarketWatch&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/MarketWatch
https://en.m.wikipedia.org/w/index.php?title=Barry_Schwartz_(technologist)&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Barry_Schwartz_(technologist)
https://en.m.wikipedia.org/w/index.php?title=Danny_Sullivan_(technologist)&mobileaction=toggle_view_mobile#Search_Engine_Land,https://en.wikipedia.org/wiki/SearchEngineLand
https://en.m.wikipedia.org/w/index.php?title=Klingon_language&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Klingon_language
https://en.m.wikipedia.org/w/index.php?title=Nexus_One&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Nexus_One
https://en.m.wikipedia.org/w/index.php?title=Marion_Nestle&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Marion_Nestle
https://en.m.wikipedia.org/w/index.php?title=Google&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Google
https://en.m.wikipedia.org/w/index.php?title=Special:BookSources/978-0-8264-1452-6&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Special:BookSources/978-0-8264-1452-6
https://en.m.wikipedia.org/w/index.php?title=Lincoln_University_(New_Zealand)&mobileaction=toggle_view_mobile,"https://en.wikipedia.org/wiki/Lincoln_University,_New_Zealand"
https://en.m.wikipedia.org/w/index.php?title=Christchurch_City_Libraries&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Christchurch_Public_Libraries
"https://en.m.wikipedia.org/w/index.php?title=Boulder,_Colorado&mobileaction=toggle_view_mobile","https://en.wikipedia.org/wiki/Boulder,_Colorado"
https://en.m.wikipedia.org/w/index.php?title=Dunedin_Public_Libraries&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Dunedin_Public_Libraries
https://en.m.wikipedia.org/w/index.php?title=Auckland_Libraries&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Auckland_City_Libraries
https://en.m.wikipedia.org/w/index.php?title=National_Library_of_New_Zealand&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/National_Library_of_New_Zealand
https://en.m.wikipedia.org/w/index.php?title=Qualcomm_Atheros&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Qualcomm_Atheros
https://en.m.wikipedia.org/w/index.php?title=Auckland_University_of_Technology&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Auckland_University_of_Technology
https://en.m.wikipedia.org/w/index.php?title=Massey_University&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Massey_University
https://en.m.wikipedia.org/w/index.php?title=Celestica&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Celestica
https://en.m.wikipedia.org/w/index.php?title=Jim_Inhofe&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Jim_Inhofe
https://en.m.wikipedia.org/w/index.php?title=Motorola_Solutions&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Motorola_Solutions
https://en.m.wikipedia.org/w/index.php?title=WTAE-TV&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/WTAE_TV
https://en.m.wikipedia.org/w/index.php?title=Think_tank&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Think_tank
https://en.m.wikipedia.org/w/index.php?title=Marvell_Technology_Group&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Marvell_Technology_Group
https://en.m.wikipedia.org/w/index.php?title=Waimakariri_District&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Waimakariri_District
https://en.m.wikipedia.org/w/index.php?title=Renesas_Electronics&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Renesas_Electronics
https://en.m.wikipedia.org/w/index.php?title=Jabil_Circuit&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Jabil_Circuit
https://en.m.wikipedia.org/w/index.php?title=Team_FREDNET&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Team_FREDNET
https://en.m.wikipedia.org/w/index.php?title=MIPS_Technologies&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/MIPS_Technologies
https://en.m.wikipedia.org/w/index.php?title=Nokia_Networks&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Nokia_Networks
https://en.m.wikipedia.org/w/index.php?title=Gemalto&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Gemalto
https://en.m.wikipedia.org/w/index.php?title=Palmerston_North&mobileaction=toggle_view_mobile,"https://en.wikipedia.org/wiki/Palmerston_North,_New_Zealand"
https://en.m.wikipedia.org/w/index.php?title=Mitsubishi_Electric&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Mitsubishi_Electric
https://en.m.wikipedia.org/w/index.php?title=Pittsburgh_Tribune-Review&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Trib_Total_Media
https://en.m.wikipedia.org/w/index.php?title=Juniper_Networks&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Juniper_Networks
https://en.m.wikipedia.org/w/index.php?title=MediaTek&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/MediaTek
https://en.m.wikipedia.org/w/index.php?title=Auckland&mobileaction=toggle_view_mobile,https://en.wikipedia.org/wiki/Auckland
https://en.m.wikipedia.org/w/index.php?title=Seattle&mobileaction=toggle_view_mobile,"https://en.wikipedia.org/wiki/Seattle,_Washington"
"https://en.m.wikipedia.org/w/index.php?title=Austin,_Texas&mobileaction=toggle_view_mobile","https://en.wikipedia.org/wiki/Austin,_Texas"
